Name,Team,Opponent,Position,Projection,Proj Ratio,Ceiling,Ceiling Ratio,Salary
Christian McCaffrey (SF),SF,JAX,RB,25.9,3.0,36.8,4.3,8500
Josh Allen (BUF),BUF,NO,QB,25.8,3.4,34.2,4.4,7700
Lamar Jackson (BAL),BAL,KC,QB,23.9,3.2,31.8,4.2,7500
Puka Nacua (LAR),LAR,IND,WR,23.8,3.0,30.2,3.8,7900
Bijan Robinson (ATL),ATL,WAS,RB,22.7,2.8,31.5,3.8,8200
Jalen Hurts (PHI),PHI,TB,QB,22.1,3.3,29.4,4.4,6700
Nico Collins (HOU),HOU,TEN,WR,20.4,2.8,28.5,3.9,7400
Jahmyr Gibbs (DET),DET,CLE,RB,20.3,2.6,28.4,3.7,7700
Saquon Barkley (PHI),PHI,TB,RB,19.8,2.6,27.8,3.7,7600
Justin Herbert (LAC),LAC,NYG,QB,19.7,3.1,26.2,4.2,6300
Jared Goff (DET),DET,CLE,QB,19.3,3.0,25.7,4.0,6400
Jonathan Taylor (IND),IND,LAR,RB,19.2,2.6,27,3.6,7500
Zay Flowers (BAL),BAL,KC,WR,19.1,2.9,24.3,3.6,6700
Derrick Henry (BAL),BAL,KC,RB,18.7,2.6,26.4,3.7,7200
Patrick Mahomes (KC),KC,BAL,QB,18.5,3.1,24.6,4.1,6000
Baker Mayfield (TB),TB,PHI,QB,18.2,2.8,24.2,3.7,6500
Kyren Williams (LAR),LAR,IND,RB,17.9,2.8,22.8,3.6,6300
Caleb Williams (CHI),CHI,LV,QB,17.8,3.1,23.7,4.1,5800
Matthew Stafford (LAR),LAR,IND,QB,17.4,2.9,23.1,3.9,5900
James Cook (BUF),BUF,NO,RB,17.3,2.4,24.6,3.5,7100
Alvin Kamara (NO),NO,BUF,RB,17.2,2.8,21.9,3.6,6100
Brock Purdy (SF),SF,JAX,QB,17.1,2.8,22.8,3.7,6100
Ashton Jeanty (LV),LV,CHI,RB,16.8,2.7,21.4,3.5,6200
Amon-Ra St. Brown (DET),DET,CLE,WR,16.7,2.3,27.6,3.8,7300
