Name,Team,Opp,Pos,Proj,Salary
Josh Allen,BUF,CIN,QB,23.80,9200
Jayden Daniels,WAS,MIN,QB,19.00,8500
Lamar Jackson,BAL,PIT,QB,18.85,8400
Joe Burrow,CIN,BUF,QB,17.67,8100
Matthew Stafford,LAR,ARI,QB,20.34,8000
Baker Mayfield,TB,NO,QB,17.31,7900
Bo Nix,DEN,LV,QB,17.88,7700
Caleb Williams,CHI,GB,QB,15.05,7600
Daniel Jones,IND,JAX,QB,15.81,7500
Jordan Love,GB,CHI,QB,17.12,7400
Sam Darnold,SEA,ATL,QB,15.31,7300
Jacoby Brissett,ARI,LAR,QB,16.85,7200
Trevor Lawrence,JAX,IND,QB,16.38,7100
Tua Tagovailoa,MIA,NYJ,QB,14.15,7000
Aaron Rodgers,PIT,BAL,QB,12.77,6900
Tyrod Taylor,NYJ,MIA,QB,14.94,6700
Tyler Shough,NO,TB,QB,14.22,6600
Kirk Cousins,ATL,SEA,QB,11.98,6500
Geno Smith,LV,DEN,QB,12.82,6500
J.J. McCarthy,MIN,WAS,QB,13.99,6400
Cam Ward,TEN,CLE,QB,10.64,6400
Shedeur Sanders,CLE,TEN,QB,11.15,6400
Jonathan Taylor,IND,JAX,RB,20.9,9700
De'Von Achane,MIA,JAX,RB,21.2,9200
James Cook III,BUF,CIN,RB,20.3,9300
Bijan Robinson,ATL,SEA,RB,18.4,9000
Josh Jacobs,GB,CHI,RB,17.2,8600
Breece Hall,NYJ,MIA,RB,15.9,7500
Derrick Henry,BAL,PIT,RB,16.5,8700
Bucky Irving,TB,NO,RB,16.6,8000
Quinshon Judkins,CLE,TEN,RB,16.9,7900
Ashton Jeanty,LV,DEN,RB,15.0,6800
Kyren Williams,LAR,ARI,RB,14.5,8200
Kenneth Walker III,SEA,ATL,RB,13.6,6600
RJ Harvey,DEN,LV,RB,13.9,6500
Travis Etienne Jr.,JAX,IND,RB,11.5,7000
Chase Brown,CIN,BUF,RB,13.8,7300
Aaron Jones Sr.,MIN,WAS,RB,11.7,6000
Puka Nacua,LAR,ARI,WR,19.9,9300
Jaxon Smith-Njigba,SEA,ATL,WR,19.2,9800
Ja'Marr Chase,CIN,BUF,WR,17.7,9100
