Name,Position,Team,Opponent,Projection,Proj Ratio,Ceiling,Ceiling Ratio,Salary
Josh Allen,QB,BUF,NO,24.0,2.7,30.6,3.4,9000
Lamar Jackson,QB,BAL,KC,22.7,2.6,27.0,3.1,8700
Christian McCaffr...,RB,SF,JAX,20.9,2.3,21.1,2.3,9300
Jalen Hurts,QB,PHI,TB,20.9,2.5,27.3,3.2,8500
Justin Herbert,QB,LAC,NYG,20.2,2.6,26.3,3.3,7900
Patrick Mahomes,QB,KC,BAL,19.8,2.5,27.1,3.5,7800
Caleb Williams,QB,CHI,LV,19.3,2.6,24.9,3.3,7500
Geno Smith,QB,LV,CHI,19.3,2.7,26.3,3.7,7200
Brock Purdy,QB,SF,JAX,17.7,2.7,22.4,3.4,6600
Puka Nacua,WR,LAR,IND,18.7,2.0,26.4,2.8,9400
Bijan Robinson,RB,ATL,WAS,18.4,2.1,20.4,2.3,8900
Saquon Barkley,RB,PHI,TB,18.3,2.1,20.2,2.3,8700
Matthew Stafford,QB,LAR,IND,18.0,2.6,23.3,3.3,7000
Daniel Jones,QB,IND,LAR,17.9,2.4,24.2,3.3,7400
Drake Maye,QB,NE,CAR,17.4,2.5,23.5,3.3,7100
James Cook,RB,BUF,NO,17.4,2.0,20.3,2.4,8500
C.J. Stroud,QB,HOU,TEN,17.0,2.5,22.8,3.4,6800
Jahmyr Gibbs,RB,DET,CLE,16.4,2.0,19.3,2.3,8300
Baker Mayfield,QB,TB,PHI,16.3,2.1,24.8,3.2,7700
Jared Goff,QB,DET,CLE,16.1,2.1,24.6,3.2,7600
Jaxson Dart,QB,NYG,LAC,15.8,2.6,21.1,3.5,6000
Bryce Young,QB,CAR,NE,15.3,2.3,23.3,3.5,6700
Kyren Williams,RB,LAR,IND,15.2,1.9,18.4,2.4,7800
Jonathan Taylor,RB,IND,LAR,15.2,1.6,21.4,2.3,9500
Michael Penix Jr.,QB,ATL,WAS,15.1,2.3,23.0,3.5,6500
Nico Collins,WR,HOU,TEN,14.9,1.8,22.5,2.7,8200
Amon-Ra St. Brown,WR,DET,CLE,14.9,1.7,22.5,2.6,8800
Trevor Lawrence,QB,JAX,SF,14.8,2.2,22.6,3.4,6700
Spencer Rattler,QB,NO,BUF,14.7,2.3,22.5,3.5,6400
Marcus Mariota,QB,WAS,ATL,14.7,2.2,22.4,3.4,6600
Derrick Henry,RB,BAL,KC,14.6,1.6,20.5,2.3,9000
Alvin Kamara,RB,NO,BUF,14.5,1.9,18.1,2.4,7500
Cameron Ward,QB,TEN,HOU,14.4,2.3,22.0,3.4,6400
Joe Flacco,QB,CLE,DET,14.3,2.2,23.4,3.6,6500
Malik Nabers,WR,NYG,LAC,14.3,1.7,21.7,2.6,8400
Bucky Irving,RB,TB,PHI,13.9,1.9,17.5,2.4,7300
Ladd McConkey,WR,LAC,NYG,13.5,1.7,21.8,2.8,7700
Travis Etienne Jr.,RB,JAX,SF,13.4,1.9,17.2,2.4,7100
Omarion Hampton,RB,LAC,NYG,13.2,1.9,18.0,2.6,7000
Jakobi Meyers,WR,LV,CHI,13.2,2.2,18.2,3.0,6100
A.J. Brown,WR,PHI,TB,13.0,1.6,20.8,2.6,8000
Davante Adams,WR,LAR,IND,13.0,1.8,19.5,2.6,7400
Ashton Jeanty,RB,LV,CHI,12.7,1.9,17.4,2.6,6800
Rome Odunze,WR,CHI,LV,12.7,1.8,20.6,2.9,7200
Isiah Pacheco,RB,KC,BAL,12.6,2.1,17.7,3.0,5900
Emeka Egbuka,WR,TB,PHI,12.5,1.8,18.7,2.7,7000
Brock Bowers,TE,LV,CHI,12.5,1.9,13.4,2.0,6700
David Montgomery,RB,DET,CLE,12.5,1.9,16.4,2.5,6700
Chuba Hubbard,RB,CAR,NE,12.2,1.8,16.3,2.5,6600
Brian Thomas Jr.,WR,JAX,SF,12.1,1.6,19.7,2.6,7500
Drake London,WR,ATL,WAS,12.1,1.7,19.6,2.8,7100
Zay Flowers,WR,BAL,KC,11.9,1.6,19.2,2.6,7300
DJ Moore,WR,CHI,LV,11.8,1.9,18.4,2.9,6300
Nick Chubb,RB,HOU,TEN,11.7,2.0,16.5,2.8,6000
Quentin Johnston,WR,LAC,NYG,11.5,1.9,18.3,2.9,6200
Tony Pollard,RB,TEN,HOU,11.4,1.8,16.1,2.6,6200
Tetairoa McMillan,WR,CAR,NE,11.4,2.0,16.8,2.9,5800
D'Andre Swift,RB,CHI,LV,11.3,1.8,15.9,2.5,6400
Xavier Worthy,WR,KC,BAL,11.2,1.7,18.2,2.7,6700
Jameson Williams,WR,DET,CLE,11.2,1.6,18.2,2.7,6800
Quinshon Judkins,RB,CLE,DET,11.2,1.8,15.7,2.5,6300
Chris Olave,WR,NO,BUF,11.1,1.9,16.4,2.7,6000
Travis Kelce,TE,KC,BAL,11.1,1.8,12.7,2.1,6100
Ricky Pearsall,WR,SF,JAX,11.0,1.7,17.9,2.8,6300
DeVonta Smith,WR,PHI,TB,10.9,1.7,17.7,2.7,6600
Keenan Allen,WR,LAC,NYG,10.7,1.6,19.0,2.9,6500
Deebo Samuel Sr.,WR,WAS,ATL,10.6,1.7,17.3,2.7,6400
Tyler Warren,TE,IND,LAR,10.5,1.8,11.3,2.0,5800
TreVeyon Henderson,RB,NE,CAR,10.5,1.8,14.8,2.6,5700
Jauan Jennings,WR,SF,JAX,10.5,1.8,17.0,2.9,5900
Chris Rodriguez J...,RB,WAS,ATL,10.3,1.8,14.5,2.6,5600
Rhamondre Stevens...,RB,NE,CAR,10.2,1.9,14.4,2.6,5500
Cam Skattebo,RB,NYG,LAC,10.0,1.9,14.1,2.6,5400
Jerry Jeudy,WR,CLE,DET,10.0,1.8,16.2,2.8,5700
Michael Pittman J...,WR,IND,LAR,9.9,1.7,16.1,2.8,5800
Keon Coleman,WR,BUF,NO,9.9,1.7,16.0,2.8,5700
Wan'Dale Robinson,WR,NYG,LAC,9.8,1.7,16.0,2.8,5800
BUF,DEF,BUF,NO,9.4,1.9,8.4,1.7,5000
Calvin Ridley,WR,TEN,HOU,9.4,1.7,15.2,2.8,5400
