Name,Position,Team,Opponent,Projection,Proj Ratio,Ceiling,Ceiling Ratio,Salary
Bijan Robinson,RB,ATL,CAR,19.4,2.0,28.7,3.0,9500
Christian McCaffrey,RB,SF,ARI,21.1,2.3,27.3,3.0,9100
Jalen Hurts ,QB,PHI,LAR,20.8,2.4,28.5,3.4,8500
Dak Prescott,QB,DAL,CHI,20.8,2.8,26.8,3.7,7300
Baker Mayfield ,QB,TB,NYJ,20.0,2.5,28.2,3.6,7900
Saquon Barkley ,RB,PHI,LAR,21.3,2.4,26.6,3.0,8900
Ja'Marr Chase ,WR,CIN,MIN,14.8,1.5,27.5,2.9,9600
Drake Maye,QB,NE,PIT,19.0,2.6,24.2,3.3,7300
Caleb Williams,QB,CHI,DAL,18.9,2.7,23.8,3.4,7100
Jonathan Taylor ,RB,IND,TEN,18.0,2.1,25.4,3.0,8500
Justin Herbert ,QB,LAC,DEN,17.7,2.3,24.9,3.3,7600
Kyler Murray ,QB,ARI,SF,17.6,2.4,23.4,3.2,7400
Jordan Love,QB,GB,CLE,17.5,2.3,25.5,3.3,7700
Alvin Kamara,RB,NO,SEA,13.5,1.7,22.1,2.8,8000
Bo Nix ,QB,DEN,LAC,17.0,2.4,21,2.9,7200
Sam Darnold ,QB,SEA,NO,17.0,2.5,21.3,3.1,6900
Chase Brown ,RB,CIN,MIN,16.9,2.2,22,2.8,7800
Trevor Lawrence ,QB,JAX,HOU,16.9,2.4,22.1,3.1,7100
C.J. Stroud ,QB,HOU,JAX,16.8,2.5,19.5,2.9,6700
Geno Smith,QB,LV,WAS,16.7,2.3,22,3.1,7200
Marcus Mariota ,QB,WAS,LV,16.6,2.8,19.82,3.3,6000
Josh Jacobs,RB,GB,CLE,16.5,2.1,23,3.0,7700
Puka Nacua ,WR,LAR,PHI,15.1,1.7,26.0,2.9,9000
Aaron Rodgers ,QB,PIT,NE,16.4,2.3,22.8,3.3,7000
Daniel Jones ,QB,IND,TEN,16.3,2.1,25.8,3.3,7800
Jake Browning ,QB,CIN,MIN,16.3,2.4,19.2,2.8,6800
Justin Jefferson ,WR,MIN,CIN,14.7,1.7,26.3,3.0,8900
Tyrod Taylor ,QB,NYJ,TB,16.2,2.5,19.13,2.9,6500
Carson Wentz ,QB,MIN,CIN,16.0,2.7,19.75,3.3,6000
James Conner ,RB,ARI,SF,13.4,1.8,21.7,2.9,7500
CeeDee Lamb,WR,DAL,CHI,17.8,2.0,28.5,3.2,8800
Jaxon Smith-Njigba ,WR,SEA,NO,13.0,1.6,24.0,3.0,8000
Nico Collins ,WR,HOU,JAX,15.4,2.0,23.6,3.0,7800
Mac Jones ,QB,SF,ARI,16.0,2.4,18.9,2.8,6700
Bucky Irving ,RB,TB,NYJ,17.1,2.3,22.3,3.0,7400
Matthew Stafford ,QB,LAR,PHI,15.3,2.2,19.7,2.9,6900
Michael Penix Jr.,QB,ATL,CAR,15.1,2.2,19.5,2.9,6800
Mike Evans ,WR,TB,NYJ,13.7,1.8,23.0,3.0,7600
Bryce Young ,QB,CAR,ATL,14.9,2.3,17.3,2.6,6600
Kyren Williams ,RB,LAR,PHI,14.3,2.0,20.8,2.8,7300
Joe Flacco,QB,CLE,GB,14.5,2.2,17.12,2.6,6500
Cameron Ward ,QB,TEN,IND,14.2,2.2,16.8,2.6,6400
Javonte Williams,RB,DAL,CHI,16.0,2.2,21.8,3.0,7200
Ladd McConkey ,WR,LAC,DEN,11.7,1.6,22.3,3.0,7500
